date,exp,imp,imae,crude_oil_brent,gas_henry_hub,treasury3month,yuan_dollar_spot_tc,usdollar_euro,ue_m,ue_x,usa_x,usa_m,chn_x,chn_m,year,month
2001-03-01,374.6913321299999,460.57494426000005,54.45654803,24.49727272727273,5.2304545454545455,4.424545454545455,8.277531818181819,0.9082863636363636,79930685832.29941,79861113598.3445,89251.0,122063.0,23145145915.7562,20419777584.6724,2001,3
2001-04-01,309.76442451,400.87513851,48.84860145,25.65714285714285,5.192,3.8725,8.277104761904761,0.8925190476190475,77733529342.3662,78415374966.9291,87903.0,118424.0,22231616577.354,20711988490.3615,2001,4
2001-05-01,415.0498966100001,517.48939952,52.54585065,28.313636363636363,4.191363636363636,3.6204545454545456,8.276977272727272,0.8753136363636365,75355773335.65599,76171957672.3602,88476.0,115572.0,21609949120.904102,19876232373.8284,2001,5
2001-06-01,370.65613216,450.9321087200001,53.09163846,27.84904761904762,3.72047619047619,3.485238095238095,8.277038095238096,0.8529571428571427,75643267468.32811,76991738721.9763,85938.0,115089.0,22078995687.1052,20802091450.809902,2001,6
2001-07-01,324.3156360600001,426.88947715999984,52.38311428,24.613636363636363,3.1090476190476197,3.513333333333333,8.276890476190475,0.8614857142857143,73205697915.6958,75775872394.8315,83202.0,113104.0,21901738079.8492,20132711583.8615,2001,7
2001-08-01,361.31439791,506.2741742200001,54.07468313,25.68,2.967826086956522,3.361739130434782,8.27696956521739,0.9013652173913044,75456323965.94211,79184651364.4487,83882.0,111975.0,22264156960.4755,20717915154.234898,2001,8
2001-09-01,314.61908993999987,427.41850122000005,52.57290396,25.6195,2.1915789473684213,2.6364705882352943,8.276805555555555,0.9114444444444444,74421944204.2411,78689480423.49161,79509.0,109726.0,22154009552.640102,20424740990.243,2001,9
2001-10-01,357.07110539,480.7467359700004,55.80865603,20.53782608695652,2.4608695652173918,2.1572727272727272,8.27680909090909,0.905,73955513551.761,79713730057.9917,79062.0,109650.0,22197150873.168697,19862721170.1445,2001,10
2001-11-01,350.0770011200002,499.39018640999984,58.08817735,18.797272727272727,2.3425,1.871,8.276895,0.88826,72190844833.3518,76135154130.6062,78446.0,108449.0,22899263402.9882,19947058520.2106,2001,11
2001-12-01,269.3769367899995,412.4986735699995,57.01206252,18.70526315789473,2.3021052631578947,1.69,8.276399999999999,0.89117,72524356049.1866,79461108859.5715,77800.0,105288.0,21768362074.7095,19961720196.4147,2001,12
2002-01-01,302.28499786,482.18834903,56.19240075,19.416818181818183,2.3176190476190475,1.653333333333333,8.27712380952381,0.8831619047619047,71463698036.9709,76802953033.8316,79260.0,108938.0,25516506294.9602,21258991785.870697,2002,1
2002-02-01,329.31218750000005,445.94516234,53.9959853,20.2755,2.323684210526316,1.724736842105263,8.276673684210527,0.8706947368421052,72055505473.7517,77192090567.3552,79264.0,111764.0,24839767534.043,21629995447.1428,2002,2
2002-03-01,352.67188514,428.43603244,54.88382376,23.696666666666665,3.0285,1.7875,8.277261904761904,0.8766380952380953,72143069231.9844,79368324973.37799,80344.0,111506.0,23738860904.8027,22350503958.7378,2002,3
2002-04-01,368.70169734,507.00780633,54.16074109,25.72863636363636,3.4268181818181818,1.7136363636363638,8.277231818181818,0.8859954545454546,75652914301.9862,79567037268.8779,82072.0,116037.0,25868226589.7442,23415768123.8818,2002,4
2002-05-01,420.95054469,566.9493037800003,56.2386605,25.345454545454547,3.4981818181818185,1.7272727272727273,8.277009090909091,0.916959090909091,76032187390.6033,83352039824.4851,82427.0,116453.0,25666053778.5902,23477544080.7006,2002,5
2002-06-01,345.0933123100001,474.2416374199997,54.53218556,24.081666666666667,3.2615000000000003,1.6995,8.2767,0.956135,78994638420.0149,86046853165.5376,83563.0,118296.0,25921578300.1212,23498199078.3441,2002,6
2002-07-01,356.85367258,511.22082073,55.91427025,25.73608695652174,2.987142857142857,1.6831818181818183,8.276813636363636,0.9935272727272728,79790901630.7412,87389260633.4198,83724.0,117637.0,28005368172.0535,25111387141.3856,2002,7
2002-08-01,353.79661768999995,497.8322795500003,55.24095336,26.65136363636364,3.087727272727273,1.6159090909090907,8.27671818181818,0.9780590909090908,79446787973.49179,87871511715.6228,83689.0,120075.0,28097438331.0528,26089393399.1159,2002,8
2002-09-01,337.2649204999998,484.9744761499997,54.3603842,28.39952380952381,3.5490000000000004,1.629,8.277025,0.98063,79939010642.0296,88361665167.819,83487.0,119575.0,29368717845.3976,26834524105.5082,2002,9
2002-10-01,369.43636706000007,543.5673460400003,57.29462946,27.54304347826087,4.1265217391304345,1.5804545454545456,8.277149999999999,0.98115,81833366111.44731,88052159993.0954,82767.0,117862.0,29217014795.213,26850379570.1878,2002,10
2002-11-01,359.04849083,512.54040712,60.26793812,24.335238095238097,4.043157894736842,1.2347368421052631,8.277168421052632,1.0012894736842106,83534669103.2655,91276221723.1728,83919.0,123435.0,29592039220.5145,28425469097.6472,2002,11
2002-12-01,283.26463888000035,503.20156374,59.16591902,28.3345,4.740952380952381,1.1909523809523808,8.277709523809524,1.019404761904762,84206845394.6891,90211629603.8638,81578.0,125186.0,28663015034.4448,26088943480.4213,2002,12
2003-01-01,348.54933439,539.12197762,59.95752018,31.183636363636364,5.432380952380952,1.169047619047619,8.277457142857141,1.062247619047619,91218674645.2764,95834323908.303,82513.0,123668.0,34633641436.2283,34351882410.999004,2003,1
2003-02-01,388.68445216,538.4747938799999,57.09072374,32.771,7.707894736842104,1.1652631578947368,8.27798947368421,1.0784578947368422,90963259300.3244,95159916637.4964,83094.0,123176.0,31698319965.322502,31455690935.6934,2003,2
2003-03-01,386.6108086600001,540.92827186,58.35914067,30.612380952380956,5.933333333333333,1.130952380952381,8.277285714285714,1.0797428571428571,92436958620.3609,93081729333.6577,83157.0,126963.0,31990871387.753,31847930985.646103,2003,3
2003-04-01,375.6452812,537.2346406800002,54.91816406,25.06772727272727,5.263333333333334,1.1323809523809525,8.277154545454545,1.0862363636363637,90428128768.72713,93294085256.53133,82565.0,124602.0,34363720972.9419,31292912246.3582,2003,4
2003-05-01,407.33011388,523.5086970399998,57.47689061,25.857727272727274,5.813809523809524,1.068095238095238,8.276919047619046,1.155557142857143,94098703680.7654,98733638722.5071,82630.0,123675.0,35431176489.1687,33311174719.6727,2003,5
2003-06-01,380.6180760799998,516.8651836399999,57.41338566,27.652857142857144,5.8185714285714285,0.9171428571428571,8.277104761904761,1.1674285714285713,94219810338.0634,99531196901.8407,85174.0,124869.0,34122906975.578205,32315479024.5099,2003,6
2003-07-01,366.8633989499999,543.6163775800001,58.39367299,28.348695652173912,5.026363636363636,0.9004545454545454,8.27729090909091,1.1365045454545455,89833530270.64131,97219316295.1044,85943.0,127265.0,36644440312.0063,34052725971.074,2003,7
2003-08-01,362.63291954000033,515.7502534799996,56.50617937,29.88809523809524,4.984761904761905,0.949047619047619,8.277038095238096,1.1155190476190475,88542103024.8827,97823560507.094,84906.0,124797.0,35920778932.610504,34601124664.1783,2003,8
2003-09-01,366.2011456800001,485.9001135800008,57.61283827,27.112272727272728,4.62047619047619,0.9366666666666664,8.277166666666668,1.1267,91422871353.5834,99588702663.1318,86968.0,128811.0,38603673974.2688,36541997764.440704,2003,9
2003-10-01,394.0348384499998,581.2741801499997,61.5936222,29.60782608695652,4.626956521739131,0.921818181818182,8.276822727272728,1.1713681818181818,97101560154.127,103348653043.754,88890.0,130279.0,40098082696.7432,37440298187.5436,2003,10
2003-11-01,363.7421196199998,529.0802086900003,62.40389775,28.7525,4.47,0.9322222222222224,8.276911111111112,1.171011111111111,97819251277.5874,103188367627.582,91323.0,131220.0,39268637544.9352,37518261410.9459,2003,11
2003-12-01,337.4348170800004,510.8940210699993,63.1302522,29.80714285714286,6.127619047619048,0.895909090909091,8.276972727272728,1.229818181818182,104437884890.001,111401009072.849,91023.0,135103.0,43420953158.4926,38487963166.3429,2003,12
2004-01-01,369.89442842,525.24012437,61.3579231,31.280952380952375,6.138947368421053,0.883,8.276990000000001,1.26382,104866419184.615,113800609062.256,90564.0,135209.0,40946574401.5018,40025025829.5356,2004,1
2004-02-01,396.13869336,526.9375957000001,58.929156,30.8585,5.368947368421053,0.9257894736842104,8.277126315789474,1.264042105263158,107890586622.61,117358550243.521,94131.0,138683.0,44338851278.416695,53250636910.6298,2004,2
2004-03-01,458.8233435000001,609.7722459699999,63.06862442,33.63434782608696,5.393913043478261,0.9369565217391304,8.27705652173913,1.226091304347826,104205687060.407,113150877494.215,96707.0,143461.0,45738399950.7027,43207570074.8538,2004,3
